2026-07-04 16:18:15 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-24.html [200]
2026-07-04 16:18:15 | INFO     | scraper.fetcher | Page 24 fetched
2026-07-04 16:18:16 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-25.html
2026-07-04 16:18:17 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-25.html [200]
2026-07-04 16:18:17 | INFO     | scraper.fetcher | Page 25 fetched
2026-07-04 16:18:18 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-26.html
2026-07-04 16:18:18 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-26.html [200]
2026-07-04 16:18:18 | INFO     | scraper.fetcher | Page 26 fetched
2026-07-04 16:18:19 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-27.html
2026-07-04 16:18:20 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-27.html [200]
2026-07-04 16:18:20 | INFO     | scraper.fetcher | Page 27 fetched
2026-07-04 16:18:21 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-28.html
2026-07-04 16:18:22 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-28.html [200]
2026-07-04 16:18:22 | INFO     | scraper.fetcher | Page 28 fetched
2026-07-04 16:18:23 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-29.html
2026-07-04 16:18:24 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-29.html [200]
2026-07-04 16:18:24 | INFO     | scraper.fetcher | Page 29 fetched
2026-07-04 16:18:25 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-30.html
2026-07-04 16:18:26 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-30.html [200]
2026-07-04 16:18:26 | INFO     | scraper.fetcher | Page 30 fetched
2026-07-04 16:18:27 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-31.html
2026-07-04 16:18:27 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-31.html [200]
2026-07-04 16:18:28 | INFO     | scraper.fetcher | Page 31 fetched
2026-07-04 16:18:29 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-32.html
2026-07-04 16:18:29 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-32.html [200]
2026-07-04 16:18:29 | INFO     | scraper.fetcher | Page 32 fetched
2026-07-04 16:18:30 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-33.html
2026-07-04 16:18:31 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-33.html [200]
2026-07-04 16:18:31 | INFO     | scraper.fetcher | Page 33 fetched
2026-07-04 16:18:32 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-34.html
2026-07-04 16:18:33 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-34.html [200]
2026-07-04 16:18:33 | INFO     | scraper.fetcher | Page 34 fetched
2026-07-04 16:18:34 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-35.html
2026-07-04 16:18:35 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-35.html [200]
2026-07-04 16:18:35 | INFO     | scraper.fetcher | Page 35 fetched
2026-07-04 16:18:36 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-36.html
2026-07-04 16:18:37 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-36.html [200]
2026-07-04 16:18:37 | INFO     | scraper.fetcher | Page 36 fetched
2026-07-04 16:18:38 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-37.html
2026-07-04 16:18:38 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-37.html [200]
2026-07-04 16:18:38 | INFO     | scraper.fetcher | Page 37 fetched
2026-07-04 16:18:39 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-38.html
2026-07-04 16:18:40 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-38.html [200]
2026-07-04 16:18:40 | INFO     | scraper.fetcher | Page 38 fetched
2026-07-04 16:18:41 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-39.html
2026-07-04 16:18:42 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-39.html [200]
